Estado de cuenta del comerciante,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Tipo de informe,Envíos,,,,,,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,,,,,,
Búsqueda por fechas,29/05/2026 - 25/06/2026,,,,,,,,,,,,,,,,,,
Generados,25/06/2026 10:14,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Envíos,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fecha de envío,Número de factura del monto del resumen de los cargos,Número de Pago,Cargos totales,Créditos,Monto del envío,Total del envío,Monto del descuento,Cuotas e incentivos,Monto del pago,Número de establecimiento receptor del pago,Número de establecimiento que envía,Sucursal que envía,Conteo de transacciones,Fecha de pago,Nombre de sucursal que envía,IVA,Descripción,Fecha de la transacción,Número de mensualidades
14/06/2026,198,41676779,MXN$ 952.62,MXN$ 0.00,MXN$ 952.62,MXN$ 952.62,(MXN$ 0.95),MXN$ 0.00,MXN$ 951.52,8488075888,8488075888,,1,18/06/2026,NOVIA DEL MAR,(MXN$ 0.15),,15/06/2026,0
14/06/2026,14,41677000,MXN$ 371.65,MXN$ 0.00,MXN$ 371.65,MXN$ 371.65,(MXN$ 0.37),MXN$ 0.00,MXN$ 371.22,8489189142,8489189142,,2,18/06/2026,CASA DE JUSTICIA,(MXN$ 0.06),,15/06/2026,0
14/06/2026,8,41677021,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,MXN$ 500.00,(MXN$ 0.50),MXN$ 0.00,MXN$ 499.42,8489278671,8489278671,,1,18/06/2026,KIN HA,(MXN$ 0.08),,15/06/2026,0
14/06/2026,32,41677022,"MXN$ 1,452.08",MXN$ 0.00,"MXN$ 1,452.08","MXN$ 1,452.08",(MXN$ 1.45),MXN$ 0.00,"MXN$ 1,450.40",8489278820,8489278820,,2,18/06/2026,FRONTERA,(MXN$ 0.23),,15/06/2026,0
15/06/2026,1622,31686018,"MXN$ 4,870.11",MXN$ 0.00,"MXN$ 4,870.11","MXN$ 4,870.11",(MXN$ 4.87),MXN$ 0.00,"MXN$ 4,864.46",7464542802,7464542802,,4,19/06/2026,BOLICHE,(MXN$ 0.78),,16/06/2026,0
15/06/2026,140,31687432,"MXN$ 1,473.77",MXN$ 0.00,"MXN$ 1,473.77","MXN$ 1,473.77",(MXN$ 1.47),MXN$ 0.00,"MXN$ 1,472.06",7469540645,7469540645,,1,19/06/2026,CHAMPOTON MALECON,(MXN$ 0.24),,16/06/2026,0
15/06/2026,122,41686813,"MXN$ 1,949.42",MXN$ 0.00,"MXN$ 1,949.42","MXN$ 1,949.42",(MXN$ 1.95),MXN$ 0.00,"MXN$ 1,947.16",8487957920,8487957920,,2,19/06/2026,KANISTE,(MXN$ 0.31),,16/06/2026,0
15/06/2026,199,41686829,"MXN$ 1,702.79",MXN$ 0.00,"MXN$ 1,702.79","MXN$ 1,702.79",(MXN$ 1.70),MXN$ 0.00,"MXN$ 1,700.82",8488075888,8488075888,,1,19/06/2026,NOVIA DEL MAR,(MXN$ 0.27),,16/06/2026,0
15/06/2026,17,41686831,MXN$ 150.00,MXN$ 0.00,MXN$ 150.00,MXN$ 150.00,(MXN$ 0.15),MXN$ 0.00,MXN$ 149.83,8488075995,8488075995,,1,19/06/2026,CHETUMAL PLAZA,(MXN$ 0.02),,16/06/2026,0
15/06/2026,16,41687031,MXN$ 713.94,MXN$ 0.00,MXN$ 713.94,MXN$ 713.94,(MXN$ 0.71),MXN$ 0.00,MXN$ 713.12,8489189142,8489189142,,1,19/06/2026,CASA DE JUSTICIA,(MXN$ 0.11),,16/06/2026,0
