FechaEnvio,NumeroFacturaDeCargos,Número de Pago,CargosTotales,Creditos,MontoDeEnvio,TotalDelEnvio,MontoDelDescuento,CuotasEIncentivos,MontoDePago,IdAfiliacion,Número de establecimiento que envía,SucursalQueEnvia,ConteoDeTransacciones,FechaPago,NombreSucursal,IVA,Descripcion,FechaTransaccion,NumeroDeMensualidades
2026-04-10,1442,31037573,MXN$ 100.00,MXN$ 0.00,MXN$ 100.00,MXN$ 100.00,(MXN$ 1.10),MXN$ 0.00,MXN$ 98.72,7464542802,7464542802,,1,2026-04-15,BOLICHE,(MXN$ 0.18),,2026-04-10,0
2026-04-10,1443,31037573,"MXN$ 6,296.09",MXN$ 0.00,"MXN$ 6,296.09","MXN$ 6,296.09",(MXN$ 69.26),MXN$ 0.00,"MXN$ 6,215.75",7464542802,7464542802,,6,2026-04-15,BOLICHE,(MXN$ 11.08),,2026-04-10,0
2026-04-10,1444,31037573,"MXN$ 4,874.05",MXN$ 0.00,"MXN$ 4,874.05","MXN$ 4,874.05",(MXN$ 53.61),MXN$ 0.00,"MXN$ 4,811.86",7464542802,7464542802,,6,2026-04-15,BOLICHE,(MXN$ 8.58),,2026-04-11,0
2026-04-11,1445,31037573,"MXN$ 3,656.24",MXN$ 0.00,"MXN$ 3,656.24","MXN$ 3,656.24",(MXN$ 40.22),MXN$ 0.00,"MXN$ 3,609.59",7464542802,7464542802,,3,2026-04-15,BOLICHE,(MXN$ 6.43),,2026-04-11,0
2026-04-11,1446,31037573,"MXN$ 3,254.62",MXN$ 0.00,"MXN$ 3,254.62","MXN$ 3,254.62",(MXN$ 35.80),MXN$ 0.00,"MXN$ 3,213.09",7464542802,7464542802,,4,2026-04-15,BOLICHE,(MXN$ 5.73),,2026-04-12,0
2026-04-12,1447,31037573,"MXN$ 1,840.08",MXN$ 0.00,"MXN$ 1,840.08","MXN$ 1,840.08",(MXN$ 20.24),MXN$ 0.00,"MXN$ 1,816.60",7464542802,7464542802,,2,2026-04-15,BOLICHE,(MXN$ 3.24),,2026-04-12,0
2026-04-12,1448,31037573,"MXN$ 1,748.07",MXN$ 0.00,"MXN$ 1,748.07","MXN$ 1,748.07",(MXN$ 19.23),MXN$ 0.00,"MXN$ 1,725.76",7464542802,7464542802,,2,2026-04-15,BOLICHE,(MXN$ 3.08),,2026-04-13,0
2026-04-12,45,31039437,"MXN$ 1,129.45",MXN$ 0.00,"MXN$ 1,129.45","MXN$ 1,129.45",(MXN$ 12.42),MXN$ 0.00,"MXN$ 1,115.04",7469546899,7469546899,,1,2026-04-15,PUERTO REAL,(MXN$ 1.99),,2026-04-12,0
2026-04-10,23,31039438,"MXN$ 2,888.38",MXN$ 0.00,"MXN$ 2,888.38","MXN$ 2,888.38",(MXN$ 31.77),MXN$ 0.00,"MXN$ 2,851.53",7469546923,7469546923,,2,2026-04-15,CASTAMAY,(MXN$ 5.08),,2026-04-10,0
2026-04-09,53,51031863,MXN$ 585.90,MXN$ 0.00,MXN$ 585.90,MXN$ 585.90,(MXN$ 6.44),MXN$ 0.00,MXN$ 578.43,8487957920,8487957920,,2,2026-04-15,KANISTE,(MXN$ 1.03),,2026-04-10,0
2026-04-10,54,51031863,MXN$ 750.00,MXN$ 0.00,MXN$ 750.00,MXN$ 750.00,(MXN$ 8.25),MXN$ 0.00,MXN$ 740.43,8487957920,8487957920,,3,2026-04-15,KANISTE,(MXN$ 1.32),,2026-04-11,0
2026-04-11,55,51031863,"MXN$ 2,047.67",MXN$ 0.00,"MXN$ 2,047.67","MXN$ 2,047.67",(MXN$ 22.52),MXN$ 0.00,"MXN$ 2,021.55",8487957920,8487957920,,2,2026-04-15,KANISTE,(MXN$ 3.60),,2026-04-11,0
2026-04-12,56,51031863,"MXN$ 2,688.91",MXN$ 0.00,"MXN$ 2,688.91","MXN$ 2,688.91",(MXN$ 29.58),MXN$ 0.00,"MXN$ 2,654.60",8487957920,8487957920,,3,2026-04-15,KANISTE,(MXN$ 4.73),,2026-04-12,0
