Estado de cuenta del comerciante,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Tipo de informe,Envíos,,,,,,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,,,,,,
Búsqueda por fechas,01/05/2026 - 23/05/2026,,,,,,,,,,,,,,,,,,
Generados,13/05/2026 09:37,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Envíos,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fecha de envío,Número de factura del monto del resumen de los cargos,Número de Pago,Cargos totales,Créditos,Monto del envío,Total del envío,Monto del descuento,Cuotas e incentivos,Monto del pago,Número de establecimiento receptor del pago,Número de establecimiento que envía,Sucursal que envía,Conteo de transacciones,Fecha de pago,Nombre de sucursal que envía,IVA,Descripción,Fecha de la transacción,Número de mensualidades
11/05/2026,1527,31336036,"MXN$ 8,684.93",MXN$ 0.00,"MXN$ 8,684.93","MXN$ 8,684.93",(MXN$ 8.68),MXN$ 0.00,"MXN$ 8,674.86",7464542802,7464542802,,8,15/05/2026,BOLICHE,(MXN$ 1.39),,12/05/2026,0
12/05/2026,1528,31336036,MXN$ 239.90,MXN$ 0.00,MXN$ 239.90,MXN$ 239.90,(MXN$ 0.24),MXN$ 0.00,MXN$ 239.62,7464542802,7464542802,,1,15/05/2026,BOLICHE,(MXN$ 0.04),,12/05/2026,0
12/05/2026,1529,31336036,"MXN$ 7,252.37",MXN$ 0.00,"MXN$ 7,252.37","MXN$ 7,252.37",(MXN$ 7.25),MXN$ 0.00,"MXN$ 7,243.96",7464542802,7464542802,,8,15/05/2026,BOLICHE,(MXN$ 1.16),,12/05/2026,0
12/05/2026,1530,31336036,"MXN$ 7,731.34",MXN$ 0.00,"MXN$ 7,731.34","MXN$ 7,731.34",(MXN$ 7.73),MXN$ 0.00,"MXN$ 7,722.37",7464542802,7464542802,,7,15/05/2026,BOLICHE,(MXN$ 1.24),,13/05/2026,0
12/05/2026,88,41337054,MXN$ 285.90,MXN$ 0.00,MXN$ 285.90,MXN$ 285.90,(MXN$ 0.29),MXN$ 0.00,MXN$ 285.56,8487957920,8487957920,,1,15/05/2026,KANISTE,(MXN$ 0.05),,12/05/2026,0
11/05/2026,128,41337055,"MXN$ 1,460.13",MXN$ 0.00,"MXN$ 1,460.13","MXN$ 1,460.13",(MXN$ 1.46),MXN$ 0.00,"MXN$ 1,458.44",8487957953,8487957953,,2,15/05/2026,CHAMPOTON 2,(MXN$ 0.23),,12/05/2026,0
11/05/2026,140,41337074,"MXN$ 1,643.60",MXN$ 0.00,"MXN$ 1,643.60","MXN$ 1,643.60",(MXN$ 1.64),MXN$ 0.00,"MXN$ 1,641.70",8488075888,8488075888,,2,15/05/2026,NOVIA DEL MAR,(MXN$ 0.26),,12/05/2026,0
12/05/2026,56,41337292,"MXN$ 1,878.69",MXN$ 0.00,"MXN$ 1,878.69","MXN$ 1,878.69",(MXN$ 1.88),MXN$ 0.00,"MXN$ 1,876.51",8489189142,8489189142,,2,15/05/2026,CASA DE JUSTICIA,(MXN$ 0.30),,12/05/2026,0
11/05/2026,10,41337315,"MXN$ 1,041.26",MXN$ 0.00,"MXN$ 1,041.26","MXN$ 1,041.26",(MXN$ 1.04),MXN$ 0.00,"MXN$ 1,040.05",8489278820,8489278820,,1,15/05/2026,FRONTERA,(MXN$ 0.17),,12/05/2026,0
11/05/2026,1525,31326082,MXN$ 267.20,MXN$ 0.00,MXN$ 267.20,MXN$ 267.20,(MXN$ 0.27),MXN$ 0.00,MXN$ 266.89,7464542802,7464542802,,1,14/05/2026,BOLICHE,(MXN$ 0.04),,11/05/2026,0
11/05/2026,1526,31326082,"MXN$ 5,225.62",MXN$ 0.00,"MXN$ 5,225.62","MXN$ 5,225.62",(MXN$ 5.23),MXN$ 0.00,"MXN$ 5,219.55",7464542802,7464542802,,5,14/05/2026,BOLICHE,(MXN$ 0.84),,11/05/2026,0
11/05/2026,121,31327519,"MXN$ 1,910.41",MXN$ 0.00,"MXN$ 1,910.41","MXN$ 1,910.41",(MXN$ 1.91),MXN$ 0.00,"MXN$ 1,908.19",7469540645,7469540645,,1,14/05/2026,CHAMPOTON MALECON,(MXN$ 0.31),,11/05/2026,0
11/05/2026,59,31327538,"MXN$ 1,538.20",MXN$ 0.00,"MXN$ 1,538.20","MXN$ 1,538.20",(MXN$ 1.54),MXN$ 0.00,"MXN$ 1,536.41",7469546899,7469546899,,1,14/05/2026,PUERTO REAL,(MXN$ 0.25),,12/05/2026,0
11/05/2026,86,41327220,"MXN$ 1,018.09",MXN$ 0.00,"MXN$ 1,018.09","MXN$ 1,018.09",(MXN$ 1.02),MXN$ 0.00,"MXN$ 1,016.91",8487957920,8487957920,,1,14/05/2026,KANISTE,(MXN$ 0.16),,11/05/2026,0
11/05/2026,87,41327220,"MXN$ 1,143.60",MXN$ 0.00,"MXN$ 1,143.60","MXN$ 1,143.60",(MXN$ 1.14),MXN$ 0.00,"MXN$ 1,142.28",8487957920,8487957920,,1,14/05/2026,KANISTE,(MXN$ 0.18),,11/05/2026,0
10/05/2026,138,41327232,"MXN$ 1,292.72",MXN$ 0.00,"MXN$ 1,292.72","MXN$ 1,292.72",(MXN$ 1.29),MXN$ 0.00,"MXN$ 1,291.22",8488075888,8488075888,,2,14/05/2026,NOVIA DEL MAR,(MXN$ 0.21),,11/05/2026,0
11/05/2026,139,41327232,MXN$ 950.34,MXN$ 0.00,MXN$ 950.34,MXN$ 950.34,(MXN$ 0.95),MXN$ 0.00,MXN$ 949.24,8488075888,8488075888,,1,14/05/2026,NOVIA DEL MAR,(MXN$ 0.15),,11/05/2026,0
10/05/2026,246,41327234,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,MXN$ 500.00,(MXN$ 0.50),MXN$ 0.00,MXN$ 499.42,8488076035,8488076035,,1,14/05/2026,BENITO,(MXN$ 0.08),,11/05/2026,0
11/05/2026,55,41327439,MXN$ 956.14,MXN$ 0.00,MXN$ 956.14,MXN$ 956.14,(MXN$ 0.96),MXN$ 0.00,MXN$ 955.03,8489189142,8489189142,,1,14/05/2026,CASA DE JUSTICIA,(MXN$ 0.15),,11/05/2026,0
