Estado de cuenta del comerciante,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Tipo de informe,Envíos,,,,,,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,,,,,,
Búsqueda por fechas,01/06/2026 - 18/06/2026,,,,,,,,,,,,,,,,,,
Generados,08/06/2026 16:02,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Envíos,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fecha de envío,Número de factura del monto del resumen de los cargos,Número de Pago,Cargos totales,Créditos,Monto del envío,Total del envío,Monto del descuento,Cuotas e incentivos,Monto del pago,Número de establecimiento receptor del pago,Número de establecimiento que envía,Sucursal que envía,Conteo de transacciones,Fecha de pago,Nombre de sucursal que envía,IVA,Descripción,Fecha de la transacción,Número de mensualidades
04/06/2026,1590,31597575,"MXN$ 6,834.21",MXN$ 0.00,"MXN$ 6,834.21","MXN$ 6,834.21",(MXN$ 6.83),MXN$ 0.00,"MXN$ 6,826.29",7464542802,7464542802,,9,10/06/2026,BOLICHE,(MXN$ 1.09),,05/06/2026,0
05/06/2026,1591,31597575,"MXN$ 1,800.00",MXN$ 0.00,"MXN$ 1,800.00","MXN$ 1,800.00",(MXN$ 1.80),MXN$ 0.00,"MXN$ 1,797.91",7464542802,7464542802,,2,10/06/2026,BOLICHE,(MXN$ 0.29),,05/06/2026,0
05/06/2026,1592,31597575,"MXN$ 4,388.24",MXN$ 0.00,"MXN$ 4,388.24","MXN$ 4,388.24",(MXN$ 4.39),MXN$ 0.00,"MXN$ 4,383.15",7464542802,7464542802,,6,10/06/2026,BOLICHE,(MXN$ 0.70),,05/06/2026,0
05/06/2026,1593,31597575,"MXN$ 10,496.40",MXN$ 0.00,"MXN$ 10,496.40","MXN$ 10,496.40",(MXN$ 10.50),MXN$ 0.00,"MXN$ 10,484.22",7464542802,7464542802,,9,10/06/2026,BOLICHE,(MXN$ 1.68),,06/06/2026,0
06/06/2026,1594,31597575,"MXN$ 1,495.74",MXN$ 0.00,"MXN$ 1,495.74","MXN$ 1,495.74",(MXN$ 1.50),MXN$ 0.00,"MXN$ 1,494.00",7464542802,7464542802,,1,10/06/2026,BOLICHE,(MXN$ 0.24),,06/06/2026,0
06/06/2026,1595,31597575,"MXN$ 4,101.56",MXN$ 0.00,"MXN$ 4,101.56","MXN$ 4,101.56",(MXN$ 4.10),MXN$ 0.00,"MXN$ 4,096.80",7464542802,7464542802,,3,10/06/2026,BOLICHE,(MXN$ 0.66),,06/06/2026,0
06/06/2026,1596,31597575,"MXN$ 1,234.83",MXN$ 0.00,"MXN$ 1,234.83","MXN$ 1,234.83",(MXN$ 1.23),MXN$ 0.00,"MXN$ 1,233.40",7464542802,7464542802,,1,10/06/2026,BOLICHE,(MXN$ 0.20),,07/06/2026,0
07/06/2026,1597,31597575,"MXN$ 1,828.07",MXN$ 0.00,"MXN$ 1,828.07","MXN$ 1,828.07",(MXN$ 1.83),MXN$ 0.00,"MXN$ 1,825.95",7464542802,7464542802,,1,10/06/2026,BOLICHE,(MXN$ 0.29),,07/06/2026,0
07/06/2026,1598,31597575,"MXN$ 3,037.43",MXN$ 0.00,"MXN$ 3,037.43","MXN$ 3,037.43",(MXN$ 3.04),MXN$ 0.00,"MXN$ 3,033.90",7464542802,7464542802,,3,10/06/2026,BOLICHE,(MXN$ 0.49),,07/06/2026,0
07/06/2026,1599,31597575,"MXN$ 1,687.38",MXN$ 0.00,"MXN$ 1,687.38","MXN$ 1,687.38",(MXN$ 1.69),MXN$ 0.00,"MXN$ 1,685.42",7464542802,7464542802,,1,10/06/2026,BOLICHE,(MXN$ 0.27),,08/06/2026,0
