Estado de cuenta del comerciante,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Tipo de informe,Envíos,,,,,,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,,,,,,
Búsqueda por fechas,01/05/2026 - 31/05/2026,,,,,,,,,,,,,,,,,,
Generados,01/06/2026 11:45,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Envíos,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fecha de envío,Número de factura del monto del resumen de los cargos,Número de Pago,Cargos totales,Créditos,Monto del envío,Total del envío,Monto del descuento,Cuotas e incentivos,Monto del pago,Número de establecimiento receptor del pago,Número de establecimiento que envía,Sucursal que envía,Conteo de transacciones,Fecha de pago,Nombre de sucursal que envía,IVA,Descripción,Fecha de la transacción,Número de mensualidades
28/05/2026,1573,31526887,"MXN$ 8,372.59",MXN$ 0.00,"MXN$ 8,372.59","MXN$ 8,372.59",(MXN$ 8.37),MXN$ 0.00,"MXN$ 8,362.88",7464542802,7464542802,,6,03/06/2026,BOLICHE,(MXN$ 1.34),,29/05/2026,0
29/05/2026,1574,31526887,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,MXN$ 500.00,(MXN$ 0.50),MXN$ 0.00,MXN$ 499.42,7464542802,7464542802,,1,03/06/2026,BOLICHE,(MXN$ 0.08),,29/05/2026,0
29/05/2026,1575,31526887,MXN$ 300.00,MXN$ 0.00,MXN$ 300.00,MXN$ 300.00,(MXN$ 0.30),MXN$ 0.00,MXN$ 299.65,7464542802,7464542802,,1,03/06/2026,BOLICHE,(MXN$ 0.05),,29/05/2026,0
29/05/2026,1576,31526887,"MXN$ 3,725.52",MXN$ 0.00,"MXN$ 3,725.52","MXN$ 3,725.52",(MXN$ 3.73),MXN$ 0.00,"MXN$ 3,721.19",7464542802,7464542802,,5,03/06/2026,BOLICHE,(MXN$ 0.60),,29/05/2026,0
29/05/2026,1577,31526887,"MXN$ 3,366.39",MXN$ 0.00,"MXN$ 3,366.39","MXN$ 3,366.39",(MXN$ 3.37),MXN$ 0.00,"MXN$ 3,362.48",7464542802,7464542802,,3,03/06/2026,BOLICHE,(MXN$ 0.54),,30/05/2026,0
30/05/2026,1578,31526887,"MXN$ 2,308.82",MXN$ 0.00,"MXN$ 2,308.82","MXN$ 2,308.82",(MXN$ 2.31),MXN$ 0.00,"MXN$ 2,306.14",7464542802,7464542802,,3,03/06/2026,BOLICHE,(MXN$ 0.37),,30/05/2026,0
30/05/2026,1579,31526887,"MXN$ 1,700.00",MXN$ 0.00,"MXN$ 1,700.00","MXN$ 1,700.00",(MXN$ 1.70),MXN$ 0.00,"MXN$ 1,698.03",7464542802,7464542802,,2,03/06/2026,BOLICHE,(MXN$ 0.27),,31/05/2026,0
31/05/2026,1580,31526887,"MXN$ 2,136.10",MXN$ 0.00,"MXN$ 2,136.10","MXN$ 2,136.10",(MXN$ 2.14),MXN$ 0.00,"MXN$ 2,133.62",7464542802,7464542802,,1,03/06/2026,BOLICHE,(MXN$ 0.34),,31/05/2026,0
31/05/2026,1581,31526887,MXN$ 571.80,MXN$ 0.00,MXN$ 571.80,MXN$ 571.80,(MXN$ 0.57),MXN$ 0.00,MXN$ 571.14,7464542802,7464542802,,1,03/06/2026,BOLICHE,(MXN$ 0.09),,01/06/2026,0
30/05/2026,7,31526888,MXN$ 857.70,MXN$ 0.00,MXN$ 857.70,MXN$ 857.70,(MXN$ 0.86),MXN$ 0.00,MXN$ 856.70,7464542810,7464542810,,1,03/06/2026,POMUCH,(MXN$ 0.14),,31/05/2026,0
