Estado de cuenta del comerciante,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Tipo de informe,Envíos,,,,,,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,,,,,,
Búsqueda por fechas,01/04/2026 - 30/04/2026,,,,,,,,,,,,,,,,,,
Generados,28/04/2026 11:11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Envíos,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fecha de envío,Número de factura del monto del resumen de los cargos,Número de Pago,Cargos totales,Créditos,Monto del envío,Total del envío,Monto del descuento,Cuotas e incentivos,Monto del pago,Número de establecimiento receptor del pago,Número de establecimiento que envía,Sucursal que envía,Conteo de transacciones,Fecha de pago,Nombre de sucursal que envía,IVA,Descripción,Fecha de la transacción,Número de mensualidades
27/04/2026,1485,31185672,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,MXN$ 500.00,(MXN$ 5.50),MXN$ 0.00,MXN$ 493.62,7464542802,7464542802,,1,30/04/2026,BOLICHE,(MXN$ 0.88),,27/04/2026,0
27/04/2026,1486,31185672,"MXN$ 3,558.86",MXN$ 0.00,"MXN$ 3,558.86","MXN$ 3,558.86",(MXN$ 39.15),MXN$ 0.00,"MXN$ 3,513.45",7464542802,7464542802,,3,30/04/2026,BOLICHE,(MXN$ 6.26),,27/04/2026,0
27/04/2026,52,31187040,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,MXN$ 500.00,(MXN$ 5.50),MXN$ 0.00,MXN$ 493.62,7469546899,7469546899,,1,30/04/2026,PUERTO REAL,(MXN$ 0.88),,27/04/2026,0
27/04/2026,73,41186360,MXN$ 277.00,MXN$ 0.00,MXN$ 277.00,MXN$ 277.00,(MXN$ 3.05),MXN$ 0.00,MXN$ 273.46,8487957920,8487957920,,1,30/04/2026,KANISTE,(MXN$ 0.49),,27/04/2026,0
27/04/2026,74,41186360,"MXN$ 1,809.69",MXN$ 0.00,"MXN$ 1,809.69","MXN$ 1,809.69",(MXN$ 19.91),MXN$ 0.00,"MXN$ 1,786.59",8487957920,8487957920,,2,30/04/2026,KANISTE,(MXN$ 3.19),,27/04/2026,0
26/04/2026,118,41186361,MXN$ 200.00,MXN$ 0.00,MXN$ 200.00,MXN$ 200.00,(MXN$ 2.20),MXN$ 0.00,MXN$ 197.45,8487957953,8487957953,,1,30/04/2026,CHAMPOTON 2,(MXN$ 0.35),,27/04/2026,0
27/04/2026,45,41186362,"MXN$ 1,200.00",MXN$ 0.00,"MXN$ 1,200.00","MXN$ 1,200.00",(MXN$ 13.20),MXN$ 0.00,"MXN$ 1,184.69",8487957995,8487957995,,1,30/04/2026,SABANCUY,(MXN$ 2.11),,27/04/2026,0
27/04/2026,236,41186379,"MXN$ 1,969.70",MXN$ 0.00,"MXN$ 1,969.70","MXN$ 1,969.70",(MXN$ 21.67),MXN$ 0.00,"MXN$ 1,944.56",8488076035,8488076035,,2,30/04/2026,BENITO,(MXN$ 3.47),,27/04/2026,0
27/04/2026,237,41186379,MXN$ 82.67,MXN$ 0.00,MXN$ 82.67,MXN$ 82.67,(MXN$ 0.91),MXN$ 0.00,MXN$ 81.61,8488076035,8488076035,,1,30/04/2026,BENITO,(MXN$ 0.15),,27/04/2026,0
27/04/2026,86,41186577,"MXN$ 1,051.25",MXN$ 0.00,"MXN$ 1,051.25","MXN$ 1,051.25",(MXN$ 11.56),MXN$ 0.00,"MXN$ 1,037.84",8489189027,8489189027,,1,30/04/2026,AVENIDA CENTRAL,(MXN$ 1.85),,27/04/2026,0
