Estado de cuenta del comerciante,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Envíos totales,"MXN$ 315,072.11",,,,,,,,,,,,,
Cargos totales,"MXN$ 315,072.11",,,,,,,,,,,,,
Créditos totales,--,,,,,,,,,,,,,
Descuentos,(MXN$ 315.13),,,,,,,,,,,,,
Cuotas e incentivos,--,,,,,,,,,,,,,
IVA,(MXN$ 50.38),,,,,,,,,,,,,
Monto total de la resolución,"MXN$ 314,706.60",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tipo de informe,Pagos ,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,
Búsqueda por fechas,01/06/2026 - 18/06/2026,,,,,,,,,,,,,
Generados,08/06/2026 16:02,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagos ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fecha de pago,Número de Pago,Cargos totales,Créditos,Monto del envío,Monto del descuento,Cuotas e incentivos,Contracargos,Ajustes,Monto del pago,Monto pagado al banco,Número de establecimiento receptor del pago,N.° de cuenta bancaria,Alias del receptor del pago,Fondos Retenidos
10/06/2026,31597575,"MXN$ 36,903.86",MXN$ 0.00,"MXN$ 36,903.86",(MXN$ 36.91),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 36,861.04","MXN$ 36,861.04",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
10/06/2026,31599404,"MXN$ 1,451.77",MXN$ 0.00,"MXN$ 1,451.77",(MXN$ 1.45),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,450.09","MXN$ 1,450.09",7469540645,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,31599433,"MXN$ 1,129.62",MXN$ 0.00,"MXN$ 1,129.62",(MXN$ 1.13),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"1,128.31","MXN$ 1,128.31",7469546899,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591812,"MXN$ 6,375.64",MXN$ 0.00,"MXN$ 6,375.64",(MXN$ 6.37),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 6,368.25","MXN$ 6,368.25",8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591848,"MXN$ 10,350.63",MXN$ 0.00,"MXN$ 10,350.63",(MXN$ 10.35),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 10,338.62","MXN$ 10,338.62",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591849,MXN$ 769.24,MXN$ 0.00,MXN$ 769.24,(MXN$ 0.77),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 768.35,MXN$ 768.35,8488075961,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591851,"MXN$ 2,479.58",MXN$ 0.00,"MXN$ 2,479.58",(MXN$ 2.48),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,476.70","MXN$ 2,476.70",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591852,"MXN$ 6,843.19",MXN$ 0.00,"MXN$ 6,843.19",(MXN$ 6.85),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 6,835.25","MXN$ 6,835.25",8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592139,"MXN$ 2,139.88",MXN$ 0.00,"MXN$ 2,139.88",(MXN$ 2.14),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,137.40","MXN$ 2,137.40",8489189027,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592140,"MXN$ 5,622.14",MXN$ 0.00,"MXN$ 5,622.14",(MXN$ 5.62),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 5,615.62","MXN$ 5,615.62",8489189068,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592141,"MXN$ 7,506.10",MXN$ 0.00,"MXN$ 7,506.10",(MXN$ 7.51),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 7,497.39","MXN$ 7,497.39",8489189142,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592180,MXN$ 996.25,MXN$ 0.00,MXN$ 996.25,(MXN$ 1.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 995.09,MXN$ 995.09,8489278671,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592181,"MXN$ 4,932.75",MXN$ 0.00,"MXN$ 4,932.75",(MXN$ 4.93),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 4,927.03","MXN$ 4,927.03",8489278820,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,31566698,"MXN$ 10,785.08",MXN$ 0.00,"MXN$ 10,785.08",(MXN$ 10.79),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 10,772.57","MXN$ 10,772.57",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
09/06/2026,41568514,"MXN$ 1,841.65",MXN$ 0.00,"MXN$ 1,841.65",(MXN$ 1.84),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,839.52","MXN$ 1,839.52",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568516,"MXN$ 2,000.00",MXN$ 0.00,"MXN$ 2,000.00",(MXN$ 2.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,997.68","MXN$ 1,997.68",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568517,MXN$ 123.40,MXN$ 0.00,MXN$ 123.40,(MXN$ 0.12),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 123.26,MXN$ 123.26,8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568753,MXN$ 300.00,MXN$ 0.00,MXN$ 300.00,(MXN$ 0.30),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 299.65,MXN$ 299.65,8489189027,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568754,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,(MXN$ 0.50),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 499.42,MXN$ 499.42,8489189068,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568755,MXN$ 653.96,MXN$ 0.00,MXN$ 653.96,(MXN$ 0.65),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 653.21,MXN$ 653.21,8489189142,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568770,MXN$ 635.81,MXN$ 0.00,MXN$ 635.81,(MXN$ 0.64),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 635.07,MXN$ 635.07,8489278671,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,31558234,"MXN$ 12,113.92",MXN$ 0.00,"MXN$ 12,113.92",(MXN$ 12.12),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 12,099.86","MXN$ 12,099.86",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
08/06/2026,41550243,"MXN$ 1,571.35",MXN$ 0.00,"MXN$ 1,571.35",(MXN$ 1.57),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,569.53","MXN$ 1,569.53",7469540645,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553709,"MXN$ 1,000.00",MXN$ 0.00,"MXN$ 1,000.00",(MXN$ 1.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 998.84,MXN$ 998.84,8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553710,"MXN$ 1,348.53",MXN$ 0.00,"MXN$ 1,348.53",(MXN$ 1.35),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,346.96","MXN$ 1,346.96",8487957995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553733,"MXN$ 3,740.16",MXN$ 0.00,"MXN$ 3,740.16",(MXN$ 3.74),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 3,735.82","MXN$ 3,735.82",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
